state_nameA,state_nameB,year,atopally,defense,offense,neutral,nonagg,consul,shareob,transyr,bilatno,multino,number,asymm,stateA,stateB,version,atopids
Canada,Sri Lanka,2018,1,0,0,0,1,0,,0,0,1,1,0,20,780,5.1,[3755.0]
Canada,Thailand,2018,1,0,0,0,1,0,,0,0,1,1,0,20,800,5.1,[3755.0]
Canada,Cambodia,2018,1,0,0,0,1,0,,0,0,1,1,0,20,811,5.1,[3755.0]
Canada,Laos,2018,1,0,0,0,1,0,,0,0,1,1,0,20,812,5.1,[3755.0]
Canada,Vietnam,2018,1,0,0,0,1,0,,0,0,1,1,0,20,816,5.1,[3755.0]
Canada,Malaysia,2018,1,0,0,0,1,0,,0,0,1,1,0,20,820,5.1,[3755.0]
Canada,Singapore,2018,1,0,0,0,1,0,,0,0,1,1,0,20,830,5.1,[3755.0]
Canada,Brunei,2018,1,0,0,0,1,0,,0,0,1,1,0,20,835,5.1,[3755.0]
Canada,Philippines,2018,1,0,0,0,1,0,,0,0,1,1,0,20,840,5.1,[3755.0]
Canada,Indonesia,2018,1,0,0,0,1,0,,0,0,1,1,0,20,850,5.1,[3755.0]
Canada,East Timor,2018,1,0,0,0,1,0,,0,0,1,1,0,20,860,5.1,[3755.0]
Canada,Australia,2018,1,0,0,0,1,0,,0,0,1,1,0,20,900,5.1,[3755.0]
Canada,Papua New Guinea,2018,1,0,0,0,1,0,,0,0,1,1,0,20,910,5.1,[3755.0]
Canada,New Zealand,2018,1,0,0,0,1,0,,0,0,1,1,0,20,920,5.1,[3755.0]
Bahamas,United States of America,2018,1,1,0,0,1,1,,0,0,2,2,0,31,2,5.1,"[3075.0, 3150.0]"
Bahamas,Haiti,2018,1,1,0,0,1,1,,0,0,2,2,0,31,41,5.1,"[3075.0, 3150.0]"
Bahamas,Dominican Republic,2018,1,1,0,0,1,1,,0,0,2,2,0,31,42,5.1,"[3075.0, 3150.0]"
Bahamas,Jamaica,2018,1,1,0,0,1,1,,0,0,1,1,0,31,51,5.1,[3150.0]
Bahamas,Trinidad and Tobago,2018,1,1,0,0,1,1,,0,0,2,2,0,31,52,5.1,"[3075.0, 3150.0]"
Bahamas,Barbados,2018,1,1,0,0,1,1,,0,0,1,1,0,31,53,5.1,[3150.0]
Bahamas,Dominica,2018,1,1,0,0,1,1,,0,0,1,1,0,31,54,5.1,[3150.0]
Bahamas,Grenada,2018,1,1,0,0,1,1,,0,0,1,1,0,31,55,5.1,[3150.0]
Bahamas,St. Lucia,2018,1,1,0,0,1,1,,0,0,1,1,0,31,56,5.1,[3150.0]
Bahamas,St. Vincent and the Grenadines,2018,1,1,0,0,1,1,,0,0,1,1,0,31,57,5.1,[3150.0]
Bahamas,Antigua & Barbuda,2018,1,1,0,0,1,1,,0,0,1,1,0,31,58,5.1,[3150.0]
Bahamas,St. Kitts and Nevis,2018,1,1,0,0,1,1,,0,0,1,1,0,31,60,5.1,[3150.0]
Bahamas,Mexico,2018,1,1,0,0,1,1,,0,0,1,1,0,31,70,5.1,[3150.0]
Bahamas,Belize,2018,1,1,0,0,1,1,,0,0,1,1,0,31,80,5.1,[3150.0]
Bahamas,Guatemala,2018,1,1,0,0,1,1,,0,0,2,2,0,31,90,5.1,"[3075.0, 3150.0]"
Bahamas,Honduras,2018,1,1,0,0,1,1,,0,0,2,2,0,31,91,5.1,"[3075.0, 3150.0]"
Bahamas,El Salvador,2018,1,1,0,0,1,1,,0,0,2,2,0,31,92,5.1,"[3075.0, 3150.0]"
Bahamas,Nicaragua,2018,1,1,0,0,1,1,,0,0,1,1,0,31,93,5.1,[3150.0]
Bahamas,Costa Rica,2018,1,1,0,0,1,1,,0,0,2,2,0,31,94,5.1,"[3075.0, 3150.0]"
Bahamas,Panama,2018,1,1,0,0,1,1,,0,0,2,2,0,31,95,5.1,"[3075.0, 3150.0]"
Bahamas,Colombia,2018,1,1,0,0,1,1,,0,0,2,2,0,31,100,5.1,"[3075.0, 3150.0]"
Bahamas,Venezuela,2018,1,1,0,0,1,1,,0,0,1,1,0,31,101,5.1,[3150.0]
Bahamas,Guyana,2018,1,1,0,0,1,1,,0,0,1,1,0,31,110,5.1,[3150.0]
Bahamas,Suriname,2018,1,1,0,0,1,1,,0,0,1,1,0,31,115,5.1,[3150.0]
Bahamas,Ecuador,2018,1,1,0,0,1,1,,0,0,1,1,0,31,130,5.1,[3150.0]
Bahamas,Peru,2018,1,1,0,0,1,1,,0,0,2,2,0,31,135,5.1,"[3075.0, 3150.0]"
Bahamas,Brazil,2018,1,1,0,0,1,1,,0,0,2,2,0,31,140,5.1,"[3075.0, 3150.0]"
Bahamas,Bolivia,2018,1,1,0,0,1,1,,0,0,1,1,0,31,145,5.1,[3150.0]
Bahamas,Paraguay,2018,1,1,0,0,1,1,,0,0,2,2,0,31,150,5.1,"[3075.0, 3150.0]"
Bahamas,Chile,2018,1,1,0,0,1,1,,0,0,2,2,0,31,155,5.1,"[3075.0, 3150.0]"
Bahamas,Argentina,2018,1,1,0,0,1,1,,0,0,2,2,0,31,160,5.1,"[3075.0, 3150.0]"
Bahamas,Uruguay,2018,1,1,0,0,1,1,,0,0,2,2,0,31,165,5.1,"[3075.0, 3150.0]"
Cuba,Belarus,2018,1,0,0,0,1,0,,0,1,0,1,0,40,370,5.1,[4955.0]
Cuba,Angola,2018,1,0,0,0,1,0,,0,0,1,1,0,40,540,5.1,[3990.0]
Cuba,South Africa,2018,1,0,0,0,1,0,,0,0,1,1,0,40,560,5.1,[3990.0]
Cuba,North Korea,2018,1,1,0,0,0,0,,0,1,0,1,0,40,731,5.1,[3975.0]
Haiti,United States of America,2018,1,1,0,0,1,1,,0,0,2,2,0,41,2,5.1,"[3075.0, 3150.0]"
Haiti,Bahamas,2018,1,1,0,0,1,1,,0,0,2,2,0,41,31,5.1,"[3075.0, 3150.0]"
Haiti,Dominican Republic,2018,1,1,0,0,1,1,,0,0,2,2,0,41,42,5.1,"[3075.0, 3150.0]"
Haiti,Jamaica,2018,1,1,0,0,1,1,,0,0,1,1,0,41,51,5.1,[3150.0]
Haiti,Trinidad and Tobago,2018,1,1,0,0,1,1,,0,0,2,2,0,41,52,5.1,"[3075.0, 3150.0]"
Haiti,Barbados,2018,1,1,0,0,1,1,,0,0,1,1,0,41,53,5.1,[3150.0]
Haiti,Dominica,2018,1,1,0,0,1,1,,0,0,1,1,0,41,54,5.1,[3150.0]
Haiti,Grenada,2018,1,1,0,0,1,1,,0,0,1,1,0,41,55,5.1,[3150.0]
Haiti,St. Lucia,2018,1,1,0,0,1,1,,0,0,1,1,0,41,56,5.1,[3150.0]
Haiti,St. Vincent and the Grenadines,2018,1,1,0,0,1,1,,0,0,1,1,0,41,57,5.1,[3150.0]
Haiti,Antigua & Barbuda,2018,1,1,0,0,1,1,,0,0,1,1,0,41,58,5.1,[3150.0]
Haiti,St. Kitts and Nevis,2018,1,1,0,0,1,1,,0,0,1,1,0,41,60,5.1,[3150.0]
Haiti,Mexico,2018,1,1,0,0,1,1,,0,0,1,1,0,41,70,5.1,[3150.0]
Haiti,Belize,2018,1,1,0,0,1,1,,0,0,1,1,0,41,80,5.1,[3150.0]
